"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 17 00:39:02 GMT 2025","Mon Mar 17 00:39:02 GMT 2025","604","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Mon Mar 17 00:39:05 GMT 2025","Mon Mar 17 00:39:08 GMT 2025","3122","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","GetFeedback_POST","GetFeedback_POST",""
"passed","Mon Mar 17 00:39:00 GMT 2025","Mon Mar 17 00:39:01 GMT 2025","550","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Mon Mar 17 00:39:02 GMT 2025","Mon Mar 17 00:39:03 GMT 2025","592","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Mon Mar 17 00:39:08 GMT 2025","Mon Mar 17 00:39:09 GMT 2025","766","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Mon Mar 17 00:39:01 GMT 2025","Mon Mar 17 00:39:01 GMT 2025","542","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","Language_GET","Language_GET",""
"passed","Mon Mar 17 00:39:09 GMT 2025","Mon Mar 17 00:39:10 GMT 2025","543","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Mon Mar 17 00:39:10 GMT 2025","Mon Mar 17 00:39:10 GMT 2025","536","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","UserLogout_POST","UserLogout_POST",""
"passed","Mon Mar 17 00:38:56 GMT 2025","Mon Mar 17 00:38:59 GMT 2025","3443","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","LoginUser_POST","LoginUser_POST",""
"passed","Mon Mar 17 00:39:01 GMT 2025","Mon Mar 17 00:39:02 GMT 2025","547","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","UserPhoneDetails_GET","UserPhoneDetails_GET",""
"passed","Mon Mar 17 00:38:59 GMT 2025","Mon Mar 17 00:39:00 GMT 2025","588","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Mon Mar 17 00:39:03 GMT 2025","Mon Mar 17 00:39:05 GMT 2025","2393","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","MainFlow","MainFlow","ChatWithPersona_POST","ChatWithPersona_POST",""
